user_id;rg_case;missing_daily_transactions;first_deposit_date;registration_date;country_name;language_name;gender;year_of_birth;age_at_registration;duration;sum_stakes;sum_bets;bettingdays;frequency;bets_per_day;euros_per_bet;net_loss;percent_lost
31965;1;0;5/8/2000;9/17/1999;Germany;German;M;1971.0;27.0;7993.0;122550.62029999998;12868.0;1361.0;0.14801571772613278;35.30361879051137;10.210476492960273;14861.3526000001;0.12126705326843705
32639;0;0;11/21/2002;10/3/1999;Austria;German;M;1969.0;29.0;163.0;525.13;30.0;13.0;0.5370370370370371;1.708333333333335;11.63672413793105;98.38;0.18734408622626778
36822;0;0;5/8/2000;3/20/2000;Austria;German;M;1970.0;29.0;2249.0;97.868;38.0;9.0;0.14441824901236153;3.785714285714285;3.1541875;-3.032;-0.030980504352801735
36916;1;0;6/13/2000;3/21/2000;Austria;German;M;1969.0;31.0;4854.0;25342.7336;9577.0;95.0;0.022529873873475704;385.0735294117647;13.371133495885315;1769.203099999999;0.06981106016124476
38386;1;0;6/9/2000;4/21/2000;Austria;German;M;1974.0;25.0;1163.0;255.1924;147.0;37.0;0.5154905335628227;3.98611111111111;1.378295104895105;77.2527;0.3027233569651761
74438;0;0;6/9/2000;6/9/2000;Austria;German;M;1975.0;25.0;7696.0;1823892.5614;10679.0;320.0;0.035435805125699334;40.59224598930497;82.25534430125087;36998.804899999996;0.020285627390025714
80281;0;0;6/13/2000;6/13/2000;Austria;German;M;1970.0;29.0;724.0;452.2123;72.0;37.0;0.0511049723756906;1.94594594594595;6.28072638888889;18.6278000000001;0.04119259913982901
90746;0;0;6/16/2004;6/21/2000;Austria;German;M;1981.0;19.0;4392.0;96.3048;54.0;26.0;0.00591551065681515;2.05;1.458985714285715;22.354799999999997;0.23212550153263387
91707;1;0;6/25/2000;6/24/2000;Austria;German;M;1966.0;34.0;5786.0;6071645.8587;183554.0;880.0;0.16972080035514406;74.70931160933934;29.345092590428866;148817.17779999998;0.024510187396183748
92140;0;0;6/25/2000;6/25/2000;Austria;German;M;1973.0;27.0;5344.0;370284.95509999996;21470.0;442.0;0.07707253582751883;39.68315747997027;16.399167291506252;2876.845099999965;0.007769273529417467
96950;0;0;6/22/2004;6/28/2000;Austria;German;M;1981.0;18.0;4380.0;2818.5589999999997;931.0;163.0;0.037215942499180546;5.728620897320084;2.53524316621208;268.30899999999997;0.0951936787557046
99596;0;0;3/13/2001;6/29/2000;Austria;German;M;1973.0;26.0;2848.0;502.96999999999997;237.0;57.0;0.3480194036370325;7.692307692307693;2.0584528508771935;349.81;0.6954887965485019
100167;0;0;2/14/2002;6/29/2000;Austria;German;F;1976.0;24.0;7426.0;5072.25;4407.0;29.0;0.0034299842516080335;87.66078431372534;16.53553604014599;128.8999999999997;0.02541278525309275
107124;1;0;7/9/2000;7/9/2000;Austria;German;M;1975.0;24.0;8818.0;190277.3263;18617.0;654.0;0.07443944603899844;45.74382009254177;34.922174547725554;12332.7456;0.06481458321815825
107292;0;0;7/9/2000;7/9/2000;Austria;German;M;1975.0;24.0;6481.0;14460.792000000001;1087.0;211.0;0.026572862379253732;9.376121463077984;17.99584022988507;288.361100000001;0.019940892587349362
109445;1;0;3/17/2005;7/15/2000;Austria;German;M;1975.0;25.0;5896.0;7936881.0697;60316.0;1865.0;0.3188728376739407;29.21151486123966;75.21922461646615;181055.9997000002;0.02281198346176602
113041;0;1;7/29/2000;;;.;M;;;0.0;0.0;0.0;0.0;;;;0.0;
113136;1;0;7/29/2000;7/29/2000;Austria;Spanish;M;1975.0;24.0;8966.0;12123136.8844;323228.0;861.0;0.08468001592559238;339.0769199641808;40.74852108413967;107031.8957;0.008828729455140292
114137;0;0;8/26/2005;8/3/2000;Austria;German;M;1960.0;40.0;2.0;214.5;203.0;2.0;1.0;101.5;8.74458333333335;100.0;0.4662004662004662
119406;1;0;1/21/2003;8/22/2000;Austria;German;M;1978.0;22.0;5451.0;655272.06;42329.0;251.0;0.0370219013708576;110.80063657407408;9.378190281944041;9378.54;0.014312436883086394
121115;0;0;5/22/2005;8/22/2000;Austria;German;F;1981.0;18.0;831.0;519.1;58.0;32.0;0.03539358155695365;1.5977011494252849;10.40486111111111;-18.0000000000001;-0.03467539973030263
134759;0;0;10/2/2005;10/7/2000;Austria;German;M;1980.0;20.0;3791.0;2681.04;968.0;114.0;0.030548594065962734;21.285154719937328;3.3044739758698096;445.87000000000046;0.16630486676812
157710;0;0;12/12/2002;11/12/2000;Austria;German;M;1981.0;18.0;5014.0;1088.2;261.0;42.0;0.0082397363451353;9.360714285714286;6.966536172460239;294.45;0.27058445138761256
165200;0;0;11/27/2000;11/27/2000;Germany;German;M;1977.0;23.0;2446.0;58838.7115;1482.0;202.0;0.28622355466042054;8.871381844441613;33.034366883116796;1956.238399999987;0.03324747177714772
165335;1;0;11/27/2000;11/27/2000;Austria;German;M;1978.0;22.0;7645.0;57853.0007;8597.0;322.0;0.04618070285845066;26.727628185485944;14.776387258674538;3743.014199999997;0.06469870455656412
166143;0;0;12/21/2001;11/28/2000;Germany;German;M;1979.0;21.0;736.0;18.0;13.0;7.0;0.5040816326530612;1.5;1.208333333333335;1.399999999999999;0.07777777777777772
167997;0;0;1/25/2001;11/30/2000;Germany;German;M;1964.0;36.0;3461.0;819.2936;202.0;87.0;0.15516171726362823;2.1647058823529397;7.09038787878788;114.9336;0.14028377617010557
178914;0;0;6/18/2004;12/28/2000;Austria;German;M;1977.0;23.0;4526.0;1855.0472;207.0;51.0;0.010887239858508766;4.2861111111111105;8.410822377418873;-91.44280000000003;-0.04929405569842106
