user_id;rg_case;missing_daily_transactions;first_deposit_date;registration_date;country_name;language_name;gender;year_of_birth;age_at_registration;sum_stakes_fixedodds;sum_bets_fixedodds;bettingdays_fixedodds;duration_fixedodds;frequency_fixedodds;bets_per_day_fixedodds;euros_per_bet_fixedodds;net_loss_fixedodds;percent_lost_fixedodds;sum_stakes_liveaction;sum_bets_liveaction;bettingdays_liveaction;duration_liveaction;frequency_liveaction;bets_per_day_liveaction;euros_per_bet_liveaction;net_loss_liveaction;percent_lost_liveaction;sum_stakes_casino;sum_bets_casino;bettingdays_casino;duration_casino;frequency_casino;bets_per_day_casino;euros_per_bet_casino;net_loss_casino;percent_lost_casino
107292;0;0;7/9/2000;7/9/2000;Austria;German;M;1975.0;24.0;7535.082;580.0;184.0;2798.0;0.0657612580414582;3.15217391304348;12.9915206896552;-414.228899999999;-0.0549733765339248;192.71;7.0;6.0;1647.0;0.00364298724954463;1.16666666666667;27.53;107.59;0.55830003632401;6733.0;500.0;21.0;2036.0;0.0103143418467584;23.8095238095238;13.466;595.0;0.0883707114213575
109445;1;0;3/17/2005;7/15/2000;Austria;German;M;1975.0;25.0;4060.4892;1032.0;464.0;2046.0;0.226783968719453;2.22413793103448;3.93458255813954;-369.020799999995;-0.0908808721865323;349053.5605;22508.0;724.0;2064.0;0.35077519379845;31.0883977900553;15.5079776301759;6370.67050000018;0.0182512692060054;7583767.02;36776.0;677.0;1786.0;0.379059350503919;54.3220088626292;206.215113661083;175054.35;0.0230827700189555
113041;0;1;7/29/2000;;;.;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113136;1;0;7/29/2000;7/29/2000;Austria;Spanish;M;1975.0;24.0;63448.9844;3886.0;516.0;3751.0;0.137563316448947;7.53100775193798;16.3275821924858;17059.1457;0.268863967821052;4839.4;71.0;28.0;2151.0;0.0130172013017201;2.53571428571429;68.1605633802817;-318.249999999999;-0.065762284580733;12054848.5;319271.0;317.0;3064.0;0.10345953002611;1007.16403785489;37.7574176796515;90291.0;0.00749001532453933
114137;0;0;8/26/2005;8/3/2000;Austria;German;M;1960.0;40.0;50.0;3.0;1.0;1.0;1.0;3.0;16.6666666666667;50.0;1.0;;;;;;;;;;164.5;200.0;1.0;1.0;1.0;200.0;0.8225;50.0;0.303951367781155
119406;1;0;1/21/2003;8/22/2000;Austria;German;M;1978.0;22.0;1552.16;377.0;117.0;2499.0;0.0468187274909964;3.22222222222222;4.11713527851459;23.6400000000001;0.01523038861973;75.9;9.0;6.0;566.0;0.0106007067137809;1.5;8.43333333333333;75.9;1.0;653644.0;41943.0;128.0;2386.0;0.0536462699077955;327.6796875;15.5841022339842;9279.0;0.0141958007722858
121115;0;0;5/22/2005;8/22/2000;Austria;German;F;1981.0;18.0;470.73;54.0;29.0;463.0;0.0626349892008639;1.86206896551724;8.71722222222222;-11.1400000000001;-0.0236653708070446;48.37;4.0;3.0;368.0;0.00815217391304348;1.33333333333333;12.0925;-6.86;-0.141823444283647;;;;;;;;;
134759;0;0;10/2/2005;10/7/2000;Austria;German;M;1980.0;20.0;473.84;432.0;69.0;1239.0;0.0556900726392252;6.26086956521739;1.09685185185185;342.79;0.723429849738308;466.63;96.0;37.0;1239.0;0.029862792574657;2.59459459459459;4.86072916666667;69.48;0.148897413368193;1740.57;440.0;8.0;1313.0;0.00609291698400609;55.0;3.95584090909091;33.6000000000004;0.0193040210965375
157710;0;0;12/12/2002;11/12/2000;Austria;German;M;1981.0;18.0;161.5;47.0;14.0;2014.0;0.00695134061569017;3.35714285714286;3.43617021276596;56.44;0.349473684210526;394.7;27.0;20.0;1823.0;0.0109709270433352;1.35;14.6185185185185;156.01;0.395262224474284;532.0;187.0;8.0;1177.0;0.00679694137638063;23.375;2.84491978609626;82.0;0.154135338345865
165200;0;0;11/27/2000;11/27/2000;Germany;German;M;1977.0;23.0;27121.0215;863.0;133.0;1457.0;0.091283459162663;6.48872180451128;31.4264443800695;2288.55839999999;0.0843831933100304;31021.19;503.0;59.0;78.0;0.756410256410256;8.52542372881356;61.6723459244533;-378.570000000003;-0.0122035937370553;696.5;116.0;10.0;911.0;0.0109769484083425;11.6;6.00431034482759;46.25;0.0664034458004307
165335;1;0;11/27/2000;11/27/2000;Austria;German;M;1978.0;22.0;5676.8007;279.0;183.0;3502.0;0.0522558537978298;1.52459016393443;20.3469559139785;817.364199999997;0.143983247465425;746.25;42.0;32.0;2706.0;0.0118255728011826;1.3125;17.7678571428571;-397.45;-0.532596314907872;51429.95;8276.0;107.0;1437.0;0.0744606819763396;77.3457943925234;6.21434871918801;3323.1;0.0646141013164508
166143;0;0;12/21/2001;11/28/2000;Germany;German;M;1979.0;21.0;17.0;12.0;6.0;735.0;0.00816326530612245;2.0;1.41666666666667;0.399999999999999;0.0235294117647058;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;
167997;0;0;1/25/2001;11/30/2000;Germany;German;M;1964.0;36.0;778.2936;198.0;85.0;3454.0;0.0246091488129705;2.32941176470588;3.93077575757576;99.9336;0.128400901664873;;;;;;;;;;41.0;4.0;2.0;7.0;0.285714285714286;2.0;10.25;15.0;0.365853658536585
178914;0;0;6/18/2004;12/28/2000;Austria;German;M;1977.0;23.0;506.3472;116.0;32.0;1933.0;0.016554578375582;3.625;4.36506206896552;-267.1428;-0.527588184550048;53.7;12.0;9.0;1656.0;0.00543478260869565;1.33333333333333;4.475;31.7;0.590316573556797;1295.0;79.0;10.0;937.0;0.0106723585912487;7.9;16.3924050632911;144.0;0.111196911196911
187808;1;0;2/9/2001;1/12/2001;Austria;German;M;1982.0;18.0;67902.6242;1729.0;517.0;2939.0;0.175910173528411;3.34429400386847;39.272772816657;5404.04419999994;0.0795852040133662;350613.9294;4922.0;386.0;2512.0;0.153662420382166;12.7512953367876;71.234036854937;15815.1994;0.0451071622484146;191183.92;28603.0;191.0;2627.0;0.0727065093262276;149.753926701571;6.68405132328777;7221.97000000003;0.0377749865156025
191415;1;0;1/25/2001;1/19/2001;Germany;German;M;1969.0;31.0;171669.4818;4717.0;2155.0;3575.0;0.602797202797203;2.18886310904872;36.3937845664616;23506.9758999995;0.136931594675551;112869.2668;4234.0;1083.0;2844.0;0.380801687763713;3.90951061865189;26.6578334435522;23600.9067999998;0.209099495984321;658.0;285.0;9.0;1132.0;0.00795053003533569;31.6666666666667;2.30877192982456;60.0;0.0911854103343465
203799;0;0;2/9/2001;2/9/2001;Austria;German;M;1964.0;37.0;119.9102;3.0;3.0;244.0;0.0122950819672131;1.0;39.9700666666667;-43.6037;-0.363636287822054;;;;;;;;;;;;;;;;;;
212099;0;0;2/22/2002;2/27/2001;Germany;German;M;1966.0;35.0;362.81;145.0;93.0;3164.0;0.0293931731984829;1.55913978494624;2.50213793103448;94.54;0.260577161599735;220.2643;77.0;50.0;2406.0;0.0207813798836243;1.54;2.86057532467532;30.4343;0.138171732777395;3605.0;609.0;93.0;2928.0;0.0317622950819672;6.54838709677419;5.91954022988506;164.5;0.045631067961165
217121;1;0;6/29/2004;3/6/2001;Germany;German;M;1973.0;27.0;64854.3606;2873.0;784.0;2322.0;0.337639965546942;3.66454081632653;22.5737419422207;8710.86060000006;0.134314185189886;158058.5477;6834.0;717.0;2323.0;0.308652604390874;9.53138075313807;23.1282627597307;14102.1376999998;0.0892209747919873;154501.31;10449.0;294.0;1663.0;0.176788935658449;35.5408163265306;14.7862293042396;3839.19999999998;0.0248489802448923
221079;1;0;3/13/2001;3/13/2001;Spain;Spanish;M;1969.0;32.0;14125.8098;160.0;82.0;3022.0;0.0271343481138319;1.95121951219512;88.28631125;1363.3898;0.0965176382312606;20307.43;359.0;42.0;1180.0;0.0355932203389831;8.54761904761905;56.5666573816156;1097.07;0.0540230841618068;;;;;;;;;
233644;0;0;6/26/2004;4/2/2001;Austria;English;F;1973.0;28.0;47.7;94.0;79.0;303.0;0.260726072607261;1.18987341772152;0.507446808510638;32.55;0.682389937106918;1.5;3.0;3.0;53.0;0.0566037735849057;1.0;0.5;-1.45;-0.966666666666667;;;;;;;;;
275466;1;0;11/11/2007;5/30/2001;Denmark;English;M;1974.0;26.0;332.716478338569;32.0;10.0;646.0;0.0154798761609907;3.2;10.3973899480803;10.2635377055058;0.0308476987877401;1098.18182102475;207.0;10.0;638.0;0.0156739811912226;20.7;5.30522618852534;-10.5447254018961;-0.00960198502653827;6093.0;886.0;4.0;568.0;0.00704225352112676;221.5;6.87697516930023;377.0;0.0618742819629083
306915;1;0;2/26/2004;7/11/2001;Austria;German;M;1975.0;26.0;7880.06;67.0;37.0;1914.0;0.0193312434691745;1.81081081081081;117.612835820896;704.260000000001;0.0893724159460716;32875.5264;306.0;54.0;2136.0;0.0252808988764045;5.66666666666667;107.436360784314;2636.2664;0.0801893289228062;568197.0;23798.0;64.0;2424.0;0.0264026402640264;371.84375;23.8758299016724;10267.75;0.018070757149369
332091;1;0;7/24/2002;8/7/2001;Austria;German;M;1970.0;30.0;32356.8418;528.0;287.0;3026.0;0.0948446794448116;1.8397212543554;61.2818973484849;6089.36180000002;0.188193947902543;182317.3454;4893.0;663.0;1956.0;0.338957055214724;7.38009049773756;37.2608512977723;30425.7654000002;0.166883547658325;2966.0;169.0;3.0;32.0;0.09375;56.3333333333333;17.5502958579882;-98.0;-0.0330411328388402
348381;1;0;10/6/2001;10/2/2001;Switzerland;German;M;1981.0;19.0;1475.80995524787;1349.0;84.0;2723.0;0.0308483290488432;16.0595238095238;1.09400293198507;550.253325771633;0.372848362904027;40.6949;43.0;7.0;1124.0;0.00622775800711744;6.14285714285714;0.946393023255814;16.6635;0.409473914421709;1986.7;2211.0;21.0;2341.0;0.00897052541648868;105.285714285714;0.898552691090005;283.2;0.142547943826446
349493;1;0;9/29/2004;10/5/2001;Germany;German;M;1977.0;24.0;15956.6382;1879.0;419.0;2231.0;0.187808157776782;4.48448687350835;8.4920905800958;2174.1982;0.136256658373065;73734.8413;1895.0;726.0;2232.0;0.325268817204301;2.61019283746556;38.9102064907652;13763.9213;0.186667809373857;709.66;372.0;8.0;1621.0;0.00493522516964837;46.5;1.90768817204301;5.71999999999991;0.00806019784121962
349495;0;0;6/19/2004;10/5/2001;Germany;German;M;1980.0;21.0;46.9;10.0;2.0;2.0;1.0;5.0;4.69;20.0;0.426439232409382;;;;;;;;;;;;;;;;;;
349855;0;0;1/21/2005;10/6/2001;Germany;German;M;1952.0;49.0;1815.55;2126.0;219.0;2061.0;0.106259097525473;9.70776255707763;0.853974600188147;459.45;0.253063809864779;34.94;19.0;8.0;2045.0;0.0039119804400978;2.375;1.83894736842105;14.0;0.400686891814539;;;;;;;;;
350228;0;0;10/6/2001;10/6/2001;Germany;German;M;1974.0;27.0;789.2576;519.0;173.0;3264.0;0.0530024509803922;3.0;1.52072755298651;93.3511;0.118277099897423;88.25;45.0;22.0;2859.0;0.00769499825113676;2.04545454545455;1.96111111111111;2.7;0.0305949008498584;22.0;21.0;1.0;1.0;1.0;21.0;1.04761904761905;10.0;0.454545454545455
355882;1;0;8/23/2008;10/17/2001;United Kingdom;English;M;1982.0;19.0;568.228424068795;24.0;9.0;18.0;0.5;2.66666666666667;23.6761843361998;-108.344075931205;-0.190669933678094;30.9875857333249;3.0;2.0;13.0;0.153846153846154;1.5;10.3291952444416;-27.2272142666751;-0.878649098416023;36.0;4.0;1.0;1.0;1.0;4.0;9.0;36.0;1.0
366074;0;0;4/27/2005;11/14/2001;Spain;Spanish;M;1980.0;21.0;193.79;116.0;28.0;1970.0;0.0142131979695431;4.14285714285714;1.67060344827586;108.72;0.561019660457196;7.58;9.0;8.0;16.0;0.5;1.125;0.842222222222222;-4.6;-0.606860158311346;5.12;9.0;2.0;4.0;0.5;4.5;0.568888888888889;3.0;0.5859375
375779;1;0;6/10/2006;12/9/2001;Austria;German;M;1975.0;25.0;39916.9239;2132.0;661.0;1612.0;0.410049627791563;3.22541603630862;18.7227598030019;1091.45390000001;0.0273431365286143;439115.0358;9612.0;1286.0;1600.0;0.80375;7.47433903576983;45.6840445068664;11540.7857999999;0.0262819189941295;90.0;40.0;5.0;217.0;0.0230414746543779;8.0;2.25;-14.0;-0.155555555555556
376200;0;0;12/14/2001;12/11/2001;Germany;German;M;1975.0;26.0;2946.2881;336.0;126.0;1716.0;0.0734265734265734;2.66666666666667;8.76871458333333;342.6781;0.116308415324353;270.05;40.0;10.0;1298.0;0.00770416024653313;4.0;6.75125;16.49;0.0610627661544157;2782.5;1183.0;12.0;1439.0;0.00833912439193885;98.5833333333333;2.35207100591716;213.5;0.0767295597484277
377204;1;0;12/14/2001;12/14/2001;Austria;German;M;1960.0;41.0;5.0092;1.0;1.0;1.0;1.0;1.0;5.0092;5.0092;1.0;17.0;4.0;2.0;2.0;1.0;2.0;4.25;10.8;0.635294117647059;8151.357;5932.0;12.0;2808.0;0.00427350427350427;494.333333333333;1.3741330074174;687.022;0.0842831445120119
378707;1;0;12/21/2001;12/21/2001;Austria;German;M;1962.0;39.0;928.93;511.0;254.0;3198.0;0.0794246404002502;2.01181102362205;1.81786692759296;849.96;0.914988212244195;174.29;55.0;25.0;1810.0;0.0138121546961326;2.2;3.16890909090909;23.98;0.137586780652935;24023.72;67496.0;104.0;2696.0;0.0385756676557863;649.0;0.355928054995852;1190.09999999999;0.049538539410216
380006;1;0;7/30/2003;12/27/2001;Austria;German;M;1982.0;19.0;1471.3118;319.0;72.0;2369.0;0.0303925707049388;4.43055555555556;4.61226269592476;144.5918;0.0982740707985892;12.75;5.0;4.0;2245.0;0.00178173719376392;1.25;2.55;9.75;0.764705882352941;255078.5;17656.0;137.0;970.0;0.141237113402062;128.875912408759;14.4471284549162;5096.5;0.0199801237658211
380781;1;0;1/20/2002;12/30/2001;Germany;German;M;1966.0;35.0;7723.08;2037.0;837.0;2983.0;0.28059001005699;2.4336917562724;3.79139911634757;1518.88000000001;0.196667650730021;2628.4755;1208.0;452.0;2689.0;0.168092227593901;2.67256637168142;2.17589031456954;296.725500000001;0.112888820915394;74183.4998;17346.0;337.0;2800.0;0.120357142857143;51.4718100890208;4.27669202121526;2893.81979999998;0.039008941446572
386047;0;0;8/15/2002;1/18/2002;Austria;German;M;1974.0;27.0;524.11;117.0;44.0;1562.0;0.028169014084507;2.65909090909091;4.47957264957265;40.95;0.0781324531109882;9.0;3.0;2.0;1280.0;0.0015625;1.5;3.0;-5.95;-0.661111111111111;;;;;;;;;
388173;0;0;1/20/2002;;;.;M;;;;;;;;;;;;;;;;;;;;;55.0;16.0;10.0;51.0;0.196078431372549;1.6;3.4375;19.0;0.345454545454545
399987;0;0;2/1/2004;2/8/2002;Austria;German;M;1971.0;31.0;275.42;16.0;13.0;737.0;0.0176390773405699;1.23076923076923;17.21375;46.31;0.168143199477162;539.27;34.0;19.0;875.0;0.0217142857142857;1.78947368421053;15.8608823529412;77.31;0.143360468781872;;;;;;;;;
402872;1;0;2/14/2002;2/14/2002;Germany;German;M;1978.0;23.0;2770.0552;436.0;114.0;3140.0;0.0363057324840764;3.82456140350877;6.3533376146789;48.6751999999997;0.017571924198478;1497.95;265.0;59.0;2123.0;0.0277908619877532;4.49152542372881;5.65264150943396;107.18;0.0715511198638136;1063772.5248;11056.0;373.0;3163.0;0.117926019601644;29.6407506702413;96.2167623733719;36456.8448000001;0.0342712788214326
403944;1;0;2/22/2002;2/15/2002;Germany;German;M;1966.0;36.0;38709.3721;6100.0;1357.0;3182.0;0.426461345065996;4.49521002210759;6.34579870491803;4917.49209999994;0.127036214570888;3577.1622;638.0;313.0;2907.0;0.107671138630891;2.03833865814696;5.60683730407524;-96.3378000000002;-0.0269313479830465;18492.0;5729.0;70.0;2233.0;0.0313479623824451;81.8428571428571;3.22778844475476;844.5;0.0456683971447112
405981;1;0;2/28/2002;2/19/2002;Austria;German;M;1954.0;47.0;14137.6;1762.0;365.0;2940.0;0.124149659863946;4.82739726027397;8.02360953461975;2724.14;0.192687584880036;19.0;6.0;2.0;1774.0;0.00112739571589628;3.0;3.16666666666667;2.15;0.113157894736842;3678.0;954.0;39.0;2973.0;0.0131180625630676;24.4615384615385;3.85534591194969;175.7;0.0477705274605763
408460;0;0;11/22/2005;2/23/2002;Sweden;Swedish;M;1966.0;36.0;20.8392;11.0;3.0;6.0;0.5;3.66666666666667;1.89447272727273;20.8392;1.0;;;;;;;;;;;;;;;;;;
411101;1;0;9/6/2005;2/27/2002;Austria;German;M;1984.0;18.0;116.5846;29.0;17.0;465.0;0.0365591397849462;1.70588235294118;4.02015862068966;98.6046;0.845777229582638;3.53;3.0;3.0;473.0;0.00634249471458774;1.0;1.17666666666667;3.53;1.0;24987.1114;9657.0;92.0;531.0;0.173258003766478;104.967391304348;2.58746105415761;489.9768;0.0196091813958135
411144;0;0;4/22/2005;2/27/2002;Sweden;Swedish;F;1983.0;18.0;64.9254;11.0;9.0;441.0;0.0204081632653061;1.22222222222222;5.90230909090909;38.3616;0.590856583093828;;;;;;;;;;2796.8048;8737.0;24.0;592.0;0.0405405405405405;364.041666666667;0.320110426919995;166.0748;0.0593801898509327
411173;0;0;2/28/2002;2/28/2002;Germany;German;M;1964.0;37.0;30.0;5.0;3.0;51.0;0.0588235294117647;1.66666666666667;6.0;30.0;1.0;;;;;;;;;;38.0;31.0;2.0;104.0;0.0192307692307692;15.5;1.2258064516129;15.0;0.394736842105263
420681;1;0;7/20/2005;3/18/2002;Sweden;Swedish;M;1976.0;26.0;932.388831750234;68.0;39.0;1303.0;0.0299309286262471;1.74358974358974;13.7116004669152;506.839231750234;0.543592130762464;67154.9378830016;3282.0;409.0;1897.0;0.215603584607275;8.02444987775061;20.4615898485684;9120.68296775223;0.135815522361772;0.75;2.0;2.0;347.0;0.00576368876080692;1.0;0.375;-4.95;-6.6
441202;1;0;3/20/2006;5/3/2002;Croatia;English;M;1977.0;24.0;4952.2896;121.0;28.0;1609.0;0.0174021131137352;4.32142857142857;40.9280132231405;860.259599999999;0.173709469656217;25728.5404;254.0;47.0;1654.0;0.028415961305925;5.40425531914894;101.293466141732;2318.0304;0.0900956822253314;;;;;;;;;
